3600 D loss: 0.283191, acc.: 92.19%, G loss: 0.075482, time: 0:10:04.935115
3650 D loss: 0.313394, acc.: 87.50%, G loss: 0.082628, time: 0:10:13.161354
3700 D loss: 0.234285, acc.: 89.06%, G loss: 0.087654, time: 0:10:21.378846
3750 D loss: 0.268897, acc.: 87.50%, G loss: 0.071481, time: 0:10:29.612590
3800 D loss: 0.345936, acc.: 82.81%, G loss: 0.081963, time: 0:10:37.819883
3850 D loss: 0.230691, acc.: 92.19%, G loss: 0.087116, time: 0:10:46.034778
3900 D loss: 0.357117, acc.: 84.38%, G loss: 0.066898, time: 0:10:54.245791
3950 D loss: 0.235322, acc.: 92.19%, G loss: 0.090242, time: 0:11:02.465794
4000 D loss: 0.241352, acc.: 90.62%, G loss: 0.086606, time: 0:11:10.698814
4050 D loss: 0.325203, acc.: 89.06%, G loss: 0.080232, time: 0:11:18.902310
4100 D loss: 0.219767, acc.: 92.19%, G loss: 0.081604, time: 0:11:27.102912
4150 D loss: 0.168791, acc.: 95.31%, G loss: 0.095905, time: 0:11:35.320732
4200 D loss: 0.161627, acc.: 98.44%, G loss: 0.094645, time: 0:11:43.539406
4250 D loss: 0.271641, acc.: 89.06%, G loss: 0.084415, time: 0:11:51.805782
4300 D loss: 0.215761, acc.: 87.50%, G loss: 0.092363, time: 0:12:00.030675
4350 D loss: 0.234501, acc.: 92.19%, G loss: 0.058200, time: 0:12:08.263781
4400 D loss: 0.183595, acc.: 92.19%, G loss: 0.092969, time: 0:12:16.488489
4450 D loss: 0.170979, acc.: 95.31%, G loss: 0.111220, time: 0:12:24.711722
4500 D loss: 0.090815, acc.: 98.44%, G loss: 0.105198, time: 0:12:32.930511
4550 D loss: 0.174250, acc.: 95.31%, G loss: 0.086895, time: 0:12:41.157787
4600 D loss: 0.147130, acc.: 95.31%, G loss: 0.103175, time: 0:12:49.379882
4650 D loss: 0.183110, acc.: 93.75%, G loss: 0.092539, time: 0:12:57.633489
4700 D loss: 0.162974, acc.: 93.75%, G loss: 0.085859, time: 0:13:05.852012
4750 D loss: 0.174961, acc.: 93.75%, G loss: 0.111299, time: 0:13:14.072730
4800 D loss: 0.119853, acc.: 98.44%, G loss: 0.092605, time: 0:13:22.308418
4850 D loss: 0.199409, acc.: 93.75%, G loss: 0.107385, time: 0:13:30.544767
4900 D loss: 0.108596, acc.: 100.00%, G loss: 0.111962, time: 0:13:38.758552
4950 D loss: 0.329418, acc.: 85.94%, G loss: 0.091580, time: 0:13:47.001521
5000 D loss: 0.187514, acc.: 92.19%, G loss: 0.113130, time: 0:13:55.221987
5050 D loss: 0.117691, acc.: 98.44%, G loss: 0.107686, time: 0:14:03.591091
5100 D loss: 0.120911, acc.: 98.44%, G loss: 0.116870, time: 0:14:11.862586
5150 D loss: 0.135332, acc.: 98.44%, G loss: 0.119179, time: 0:14:20.089856
5200 D loss: 0.097933, acc.: 98.44%, G loss: 0.094269, time: 0:14:28.312231
5250 D loss: 0.207148, acc.: 93.75%, G loss: 0.117612, time: 0:14:36.526695
5300 D loss: 0.111205, acc.: 100.00%, G loss: 0.106047, time: 0:14:44.742811
5350 D loss: 0.140546, acc.: 95.31%, G loss: 0.102675, time: 0:14:52.938005
5400 D loss: 0.170180, acc.: 95.31%, G loss: 0.122511, time: 0:15:01.139785
5450 D loss: 0.071996, acc.: 100.00%, G loss: 0.108935, time: 0:15:09.333395
5500 D loss: 0.126088, acc.: 98.44%, G loss: 0.114802, time: 0:15:17.540025
5550 D loss: 0.156449, acc.: 93.75%, G loss: 0.117824, time: 0:15:25.741451
5600 D loss: 0.136292, acc.: 95.31%, G loss: 0.114368, time: 0:15:33.939308
5650 D loss: 0.194335, acc.: 89.06%, G loss: 0.137602, time: 0:15:42.156701
