3300 D_loss: 0.564060 , acc.: 71.88% , G_loss: 0.049597 , time: 0:08:30.351757
3350 D_loss: 0.445643 , acc.: 76.56% , G_loss: 0.050487 , time: 0:08:37.215303
3400 D_loss: 0.490068 , acc.: 71.88% , G_loss: 0.049868 , time: 0:08:44.059062
3450 D_loss: 0.497754 , acc.: 78.12% , G_loss: 0.051328 , time: 0:08:50.977778
3500 D_loss: 0.492188 , acc.: 76.56% , G_loss: 0.050545 , time: 0:08:57.906817
3550 D_loss: 0.592236 , acc.: 67.19% , G_loss: 0.044021 , time: 0:09:04.814177
3600 D_loss: 0.621608 , acc.: 64.06% , G_loss: 0.040778 , time: 0:09:11.699771
3650 D_loss: 0.530960 , acc.: 76.56% , G_loss: 0.047604 , time: 0:09:18.643805
3700 D_loss: 0.451268 , acc.: 85.94% , G_loss: 0.039066 , time: 0:09:25.576796
3750 D_loss: 0.524673 , acc.: 70.31% , G_loss: 0.052187 , time: 0:09:32.459394
3800 D_loss: 0.581787 , acc.: 64.06% , G_loss: 0.043472 , time: 0:09:39.341588
3850 D_loss: 0.587965 , acc.: 68.75% , G_loss: 0.046254 , time: 0:09:46.229801
3900 D_loss: 0.435047 , acc.: 82.81% , G_loss: 0.043066 , time: 0:09:53.128981
3950 D_loss: 0.440467 , acc.: 76.56% , G_loss: 0.053786 , time: 0:09:59.964617
4000 D_loss: 0.455774 , acc.: 78.12% , G_loss: 0.043413 , time: 0:10:06.807523
4050 D_loss: 0.586143 , acc.: 65.62% , G_loss: 0.050677 , time: 0:10:13.647141
4100 D_loss: 0.437230 , acc.: 81.25% , G_loss: 0.048173 , time: 0:10:20.555162
4150 D_loss: 0.435126 , acc.: 79.69% , G_loss: 0.055115 , time: 0:10:27.386607
4200 D_loss: 0.368888 , acc.: 87.50% , G_loss: 0.045902 , time: 0:10:34.305354
4250 D_loss: 0.425418 , acc.: 85.94% , G_loss: 0.046360 , time: 0:10:41.162799
4300 D_loss: 0.455737 , acc.: 82.81% , G_loss: 0.048979 , time: 0:10:48.062170
4350 D_loss: 0.526084 , acc.: 71.88% , G_loss: 0.054270 , time: 0:10:55.000101
4400 D_loss: 0.484215 , acc.: 81.25% , G_loss: 0.045772 , time: 0:11:01.858746
4450 D_loss: 0.516301 , acc.: 73.44% , G_loss: 0.045169 , time: 0:11:08.718355
4500 D_loss: 0.541801 , acc.: 70.31% , G_loss: 0.038577 , time: 0:11:15.595162
4550 D_loss: 0.552118 , acc.: 70.31% , G_loss: 0.041879 , time: 0:11:22.453653
4600 D_loss: 0.536002 , acc.: 76.56% , G_loss: 0.047903 , time: 0:11:29.295528
4650 D_loss: 0.533812 , acc.: 76.56% , G_loss: 0.055382 , time: 0:11:36.154636
4700 D_loss: 0.399802 , acc.: 81.25% , G_loss: 0.052018 , time: 0:11:42.989435
4750 D_loss: 0.397047 , acc.: 85.94% , G_loss: 0.050342 , time: 0:11:49.822211
4800 D_loss: 0.407096 , acc.: 85.94% , G_loss: 0.041229 , time: 0:11:56.656768
4850 D_loss: 0.368966 , acc.: 90.62% , G_loss: 0.039068 , time: 0:12:03.480387
4900 D_loss: 0.495584 , acc.: 78.12% , G_loss: 0.046505 , time: 0:12:10.320610
4950 D_loss: 0.359557 , acc.: 85.94% , G_loss: 0.050518 , time: 0:12:17.167241
5000 D_loss: 0.490721 , acc.: 78.12% , G_loss: 0.039837 , time: 0:12:24.012888
5050 D_loss: 0.370433 , acc.: 92.19% , G_loss: 0.040984 , time: 0:12:31.041027
5100 D_loss: 0.393468 , acc.: 81.25% , G_loss: 0.042275 , time: 0:12:37.821046
5150 D_loss: 0.483667 , acc.: 78.12% , G_loss: 0.051246 , time: 0:12:44.661497
5200 D_loss: 0.442551 , acc.: 81.25% , G_loss: 0.047989 , time: 0:12:51.528552
5250 D_loss: 0.343144 , acc.: 90.62% , G_loss: 0.056320 , time: 0:12:58.383800
5300 D_loss: 0.452882 , acc.: 78.12% , G_loss: 0.051540 , time: 0:13:05.223247
5350 D_loss: 0.365781 , acc.: 92.19% , G_loss: 0.045331 , time: 0:13:12.062741
5400 D_loss: 0.497938 , acc.: 73.44% , G_loss: 0.044376 , time: 0:13:18.981521
5450 D_loss: 0.377290 , acc.: 87.50% , G_loss: 0.048286 , time: 0:13:25.825640
5500 D_loss: 0.539161 , acc.: 68.75% , G_loss: 0.052607 , time: 0:13:32.651993
5550 D_loss: 0.400447 , acc.: 87.50% , G_loss: 0.050029 , time: 0:13:39.536562
5600 D_loss: 0.299285 , acc.: 92.19% , G_loss: 0.050724 , time: 0:13:46.393132
5650 D_loss: 0.430059 , acc.: 87.50% , G_loss: 0.042149 , time: 0:13:53.224642
5700 D_loss: 0.348085 , acc.: 85.94% , G_loss: 0.046152 , time: 0:14:00.107447
5750 D_loss: 0.361899 , acc.: 87.50% , G_loss: 0.050381 , time: 0:14:06.906031
5800 D_loss: 0.399146 , acc.: 82.81% , G_loss: 0.051714 , time: 0:14:13.711355
5850 D_loss: 0.351596 , acc.: 87.50% , G_loss: 0.037110 , time: 0:14:20.533404
5900 D_loss: 0.432228 , acc.: 84.38% , G_loss: 0.043600 , time: 0:14:27.284150
5950 D_loss: 0.471453 , acc.: 78.12% , G_loss: 0.047429 , time: 0:14:34.136095
6000 D_loss: 0.384466 , acc.: 82.81% , G_loss: 0.050439 , time: 0:14:40.947526
6050 D_loss: 0.561059 , acc.: 71.88% , G_loss: 0.056854 , time: 0:14:47.773245
6100 D_loss: 0.429368 , acc.: 78.12% , G_loss: 0.050925 , time: 0:14:54.617471
6150 D_loss: 0.328816 , acc.: 89.06% , G_loss: 0.055571 , time: 0:15:01.465626
6200 D_loss: 0.417162 , acc.: 82.81% , G_loss: 0.053656 , time: 0:15:08.303586
6250 D_loss: 0.368866 , acc.: 89.06% , G_loss: 0.048784 , time: 0:15:15.177643
6300 D_loss: 0.355498 , acc.: 90.62% , G_loss: 0.062900 , time: 0:15:22.010494
6350 D_loss: 0.275738 , acc.: 92.19% , G_loss: 0.053161 , time: 0:15:28.781857
6400 D_loss: 0.490135 , acc.: 76.56% , G_loss: 0.062841 , time: 0:15:35.563145
6450 D_loss: 0.403323 , acc.: 81.25% , G_loss: 0.046979 , time: 0:15:42.287629
6500 D_loss: 0.512471 , acc.: 76.56% , G_loss: 0.037732 , time: 0:15:49.130787
6550 D_loss: 0.462413 , acc.: 76.56% , G_loss: 0.052835 , time: 0:15:55.990537
6600 D_loss: 0.409110 , acc.: 81.25% , G_loss: 0.056285 , time: 0:16:02.832455
6650 D_loss: 0.435864 , acc.: 82.81% , G_loss: 0.054651 , time: 0:16:09.665117
6700 D_loss: 0.283678 , acc.: 96.88% , G_loss: 0.058204 , time: 0:16:16.499673
6750 D_loss: 0.398845 , acc.: 90.62% , G_loss: 0.052963 , time: 0:16:23.324749
6800 D_loss: 0.382750 , acc.: 85.94% , G_loss: 0.056658 , time: 0:16:30.148327
6850 D_loss: 0.304284 , acc.: 95.31% , G_loss: 0.056042 , time: 0:16:36.978781
6900 D_loss: 0.348561 , acc.: 90.62% , G_loss: 0.058268 , time: 0:16:43.814427
6950 D_loss: 0.301808 , acc.: 90.62% , G_loss: 0.054125 , time: 0:16:50.642302
7000 D_loss: 0.427149 , acc.: 84.38% , G_loss: 0.044143 , time: 0:16:57.483205
7050 D_loss: 0.339596 , acc.: 87.50% , G_loss: 0.056711 , time: 0:17:04.326219
7100 D_loss: 0.288612 , acc.: 90.62% , G_loss: 0.046916 , time: 0:17:11.163591
7150 D_loss: 0.269165 , acc.: 93.75% , G_loss: 0.055251 , time: 0:17:17.995791
7200 D_loss: 0.328144 , acc.: 89.06% , G_loss: 0.056213 , time: 0:17:24.824263
7250 D_loss: 0.417971 , acc.: 82.81% , G_loss: 0.048481 , time: 0:17:31.653106
7300 D_loss: 0.380626 , acc.: 82.81% , G_loss: 0.048701 , time: 0:17:38.513083
7350 D_loss: 0.333559 , acc.: 85.94% , G_loss: 0.051155 , time: 0:17:45.355300
7400 D_loss: 0.285489 , acc.: 92.19% , G_loss: 0.066414 , time: 0:17:52.196846
7450 D_loss: 0.361209 , acc.: 85.94% , G_loss: 0.057687 , time: 0:17:59.051001
7500 D_loss: 0.297097 , acc.: 90.62% , G_loss: 0.061849 , time: 0:18:05.868338
7550 D_loss: 0.442630 , acc.: 79.69% , G_loss: 0.044362 , time: 0:18:12.810641
7600 D_loss: 0.342637 , acc.: 84.38% , G_loss: 0.057277 , time: 0:18:19.586204
7650 D_loss: 0.343065 , acc.: 87.50% , G_loss: 0.061521 , time: 0:18:26.399301
7700 D_loss: 0.382920 , acc.: 84.38% , G_loss: 0.057977 , time: 0:18:33.242666
7750 D_loss: 0.355120 , acc.: 87.50% , G_loss: 0.058863 , time: 0:18:40.079759
7800 D_loss: 0.352939 , acc.: 85.94% , G_loss: 0.048554 , time: 0:18:46.910372
7850 D_loss: 0.334496 , acc.: 87.50% , G_loss: 0.057496 , time: 0:18:53.751340
7900 D_loss: 0.379092 , acc.: 81.25% , G_loss: 0.048089 , time: 0:19:00.596821
7950 D_loss: 0.322994 , acc.: 89.06% , G_loss: 0.055785 , time: 0:19:07.430757
8000 D_loss: 0.379159 , acc.: 82.81% , G_loss: 0.058109 , time: 0:19:14.263831
8050 D_loss: 0.337995 , acc.: 87.50% , G_loss: 0.048952 , time: 0:19:21.102111
8100 D_loss: 0.330051 , acc.: 87.50% , G_loss: 0.057251 , time: 0:19:27.923094
8150 D_loss: 0.267464 , acc.: 92.19% , G_loss: 0.048049 , time: 0:19:34.750017
8200 D_loss: 0.324015 , acc.: 93.75% , G_loss: 0.053905 , time: 0:19:41.621635
8250 D_loss: 0.320360 , acc.: 90.62% , G_loss: 0.060209 , time: 0:19:48.456513
8300 D_loss: 0.351387 , acc.: 87.50% , G_loss: 0.058104 , time: 0:19:55.304662
8350 D_loss: 0.350177 , acc.: 90.62% , G_loss: 0.074491 , time: 0:20:02.140564
8400 D_loss: 0.211729 , acc.: 95.31% , G_loss: 0.059995 , time: 0:20:08.958104
8450 D_loss: 0.364647 , acc.: 81.25% , G_loss: 0.050236 , time: 0:20:15.801894
